user,artist,songs
익명 Y,유다빈밴드,백일몽
익명 Y,radiohead,Creep
익명 Y,버즈,남자를 몰라
익명 Y,엔플라잉,starlight
익명 Y,김종서,아름다운 구속
익명 Y,Oasis(오아시스),Stand By Me
익명 Y,아이유,너랑나
익명 Y,oasis,Champagne supernova
익명 Y,임재범,이 밤이 지나면
익명 Y,나상현씨밴드,찬란
익명 Y,하현상,불꽃놀이
익명 Y,예빛,100%
익명 Y,윤하,오르트구름 / 플레이댓커버ver
익명 Y,(여자)아이들,Allergy
익명 Y,갤럭시 익스프레스,OH Yeah
익명 Y,Mariah Carey,All I want for Christmas is you
익명 Y,강산에,거꾸로 강을 거슬러 오르는 저 힘찬 연어들처럼
익명 Y,beyonce,irreplaceable
익명 Y,윤하,오르트구름
익명 Y,넬(NELL),Good Night
익명 Y,LUCY,아니근데진짜
익명 Y,AC/DC,Back In Black
익명 Y,Green Day,Longview
익명 Y,유다빈 밴드,우리의 밤
익명 Y,아이유(PTK버전),미리메리크리스마스
익명 Y,boys like girls,the great escape
익명 Y,아이유,꿈빛파티시엘 오프닝곡(밴드버젼)
